"FDV","0000031","20240711|123212","20240708_1560009_095064_095069","R09_0_USA_W15 Lakewood","Ansari/Broadfoot","Reed/Walker","|K|0.753532|EK|G||OL1|1.33|EOL1|OL2|4.2021|EOL2|OH1|133|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-lakewood-ca-2-women-doubles/ansari-carolyn-broadfoot-gabriella-reed-lexington-walker-brandy-z1B5V7N7/","","","","1.48","2.45","","","","","1.5","2.46","","","","","","",""
"FDV","0000032","20240711|123216","20240708_1560009_095220_095222","R09_0_USA_W15 Lakewood","Honer/Tirunelveli","Dunyon/Jones","|K|0.86816|EK|G||OL1|1.16|EOL1|OL2|7.85565|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-lakewood-ca-2-women-doubles/honer-amelia-tirunelveli-teja-dunyon-jane-jones-marika-OIoBhTr9/","","","","","","","","","","1.25","3.62","","","","","","",""
"FDV","0000033","20240711|123221","20240708_1560009_095225_088187","R09_0_USA_W15 Lakewood","Ikemori/Oboniye","Center/Fakih","|K|0.0403453|EK|G||OL1|25.6576|EOL1|OL2|1.1|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-lakewood-ca-2-women-doubles/ikemori-mika-oboniye-gianna-center-olivia-fakih-kate-OMi0ikpR/","","","","4.15","1.19","","","","","4.19","1.2","","","","","","",""
"FDV","0000034","20240711|123225","20240708_1560009_087360_095218","R09_0_USA_W15 Lakewood","Rapolu/Sahdiieva","Chung/Hamilton","|K|0.993558|EK|G||OL1|1.1|EOL1|OL2|160.684|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-lakewood-ca-2-women-doubles/rapolu-malaika-sahdiieva-anita-chung-kayla-hamilton-alanis-Sz8cXThe/","","","","1.52","2.37","","","","","1.53","2.37","","","","","","",""
"FSM","0000035","20240711|123236","20240708_1988005_063847_066662","R05_0_BRA_M25 Sao Paulo","Barreiros Reyes","Farjat","|K|0.403085|EK|G||OL1|2.54976|EOL1|OL2|1.78752|EOL2|OH1|3.735|EOH1|OH2|168|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|390.499|390.499|146.41|146.41|AH-3.5|315.472|315.472|146.41|146.41|AH-3|315.472|315.472|156.689|156.689|AH-2.5|276.4|276.4|156.689|156.689|AH-2|276.4|276.4|165.386|165.386|AH-1.5|252.937|252.937|165.386|165.386||AH1.5|213.341|213.341|188.229|188.229|AH2|213.341|213.341|200.487|200.487|AH2.5|199.515|199.515|200.487|200.487|AH3|199.515|199.515|224.9|224.9|AH3.5|180.064|180.064|224.9|224.9|AH4|180.064|180.064|275.383|275.383|AH4.5|157.018|157.018|275.383|275.383|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-sao-paulo-men/barreiros-reyes-mateo-farjat-tomas-dC3UjFko/#ah;2;2.50;2","2.5","","","1.86","1.84","","","","","1.86","1.84","","","","","","",""
"FSM","0000035","20240711|123238","20240708_1988005_063847_066662","R05_0_BRA_M25 Sao Paulo","Barreiros Reyes","Farjat","|K|0.403085|EK|G||OL1|2.54976|EOL1|OL2|1.78752|EOL2|OH1|3.735|EOH1|OH2|168|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|390.499|390.499|146.41|146.41|AH-3.5|315.472|315.472|146.41|146.41|AH-3|315.472|315.472|156.689|156.689|AH-2.5|276.4|276.4|156.689|156.689|AH-2|276.4|276.4|165.386|165.386|AH-1.5|252.937|252.937|165.386|165.386||AH1.5|213.341|213.341|188.229|188.229|AH2|213.341|213.341|200.487|200.487|AH2.5|199.515|199.515|200.487|200.487|AH3|199.515|199.515|224.9|224.9|AH3.5|180.064|180.064|224.9|224.9|AH4|180.064|180.064|275.383|275.383|AH4.5|157.018|157.018|275.383|275.383|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-sao-paulo-men/barreiros-reyes-mateo-farjat-tomas-dC3UjFko/#ah;2;2.00;2","2.0","","","1.93","1.77","","","","","1.93","1.77","","","","","","",""
"FSM","0000035","20240711|123229","20240708_1988005_063847_066662","R05_0_BRA_M25 Sao Paulo","Barreiros Reyes","Farjat","|K|0.403085|EK|G||OL1|2.54976|EOL1|OL2|1.78752|EOL2|OH1|3.735|EOH1|OH2|168|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|390.499|390.499|146.41|146.41|AH-3.5|315.472|315.472|146.41|146.41|AH-3|315.472|315.472|156.689|156.689|AH-2.5|276.4|276.4|156.689|156.689|AH-2|276.4|276.4|165.386|165.386|AH-1.5|252.937|252.937|165.386|165.386||AH1.5|213.341|213.341|188.229|188.229|AH2|213.341|213.341|200.487|200.487|AH2.5|199.515|199.515|200.487|200.487|AH3|199.515|199.515|224.9|224.9|AH3.5|180.064|180.064|224.9|224.9|AH4|180.064|180.064|275.383|275.383|AH4.5|157.018|157.018|275.383|275.383|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-sao-paulo-men/barreiros-reyes-mateo-farjat-tomas-dC3UjFko/","","","","2.2","1.6","","","","","2.2","1.61","","","","","","",""
"FSM","0000036","20240711|123257","20240708_1988005_030230_089517","R05_0_BRA_M25 Sao Paulo","Bertran","Fernandez","|K|0.734782|EK|G||OL1|1.45768|EOL1|OL2|3.87072|EOL2|OH1|137|EOH1|OH2|5.67|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|187.911|187.911|256.672|256.672|AH-3.5|163.828|163.828|256.672|256.672|AH-3|163.828|163.828|292.191|292.191|AH-2.5|152.032|152.032|292.191|292.191|AH-2|152.032|152.032|323.665|323.665|AH-1.5|144.71|144.71|323.665|323.665||AH1.5|131.186|131.186|420.656|420.656|AH2|131.186|131.186|460.656|460.656|AH2.5|127.727|127.727|460.656|460.656|AH3|127.727|127.727|541.875|541.875|AH3.5|122.631|122.631|541.875|541.875|AH4|122.631|122.631|687.293|687.293|AH4.5|117.027|117.027|687.293|687.293|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-sao-paulo-men/bertran-peter-fernandez-bruno-tCBamtqg/#ah;2;-4.00;2","-4.0","1.64","2.17","","","","","","","1.64","2.17","","","","","","",""
"FSM","0000036","20240711|123255","20240708_1988005_030230_089517","R05_0_BRA_M25 Sao Paulo","Bertran","Fernandez","|K|0.734782|EK|G||OL1|1.45768|EOL1|OL2|3.87072|EOL2|OH1|137|EOH1|OH2|5.67|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|187.911|187.911|256.672|256.672|AH-3.5|163.828|163.828|256.672|256.672|AH-3|163.828|163.828|292.191|292.191|AH-2.5|152.032|152.032|292.191|292.191|AH-2|152.032|152.032|323.665|323.665|AH-1.5|144.71|144.71|323.665|323.665||AH1.5|131.186|131.186|420.656|420.656|AH2|131.186|131.186|460.656|460.656|AH2.5|127.727|127.727|460.656|460.656|AH3|127.727|127.727|541.875|541.875|AH3.5|122.631|122.631|541.875|541.875|AH4|122.631|122.631|687.293|687.293|AH4.5|117.027|117.027|687.293|687.293|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-sao-paulo-men/bertran-peter-fernandez-bruno-tCBamtqg/#ah;2;-4.50;2","-4.5","1.79","1.96","1.77","1.93","","","","","1.79","1.96","","","","","","",""
"FSM","0000036","20240711|123301","20240708_1988005_030230_089517","R05_0_BRA_M25 Sao Paulo","Bertran","Fernandez","|K|0.734782|EK|G||OL1|1.45768|EOL1|OL2|3.87072|EOL2|OH1|137|EOH1|OH2|5.67|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|187.911|187.911|256.672|256.672|AH-3.5|163.828|163.828|256.672|256.672|AH-3|163.828|163.828|292.191|292.191|AH-2.5|152.032|152.032|292.191|292.191|AH-2|152.032|152.032|323.665|323.665|AH-1.5|144.71|144.71|323.665|323.665||AH1.5|131.186|131.186|420.656|420.656|AH2|131.186|131.186|460.656|460.656|AH2.5|127.727|127.727|460.656|460.656|AH3|127.727|127.727|541.875|541.875|AH3.5|122.631|122.631|541.875|541.875|AH4|122.631|122.631|687.293|687.293|AH4.5|117.027|117.027|687.293|687.293|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-sao-paulo-men/bertran-peter-fernandez-bruno-tCBamtqg/#ah;2;1.50;1","1.5","1.13","5.33","1.12","5.35","","","","","1.13","5.35","","","","","","",""
"FSM","0000036","20240711|123259","20240708_1988005_030230_089517","R05_0_BRA_M25 Sao Paulo","Bertran","Fernandez","|K|0.734782|EK|G||OL1|1.45768|EOL1|OL2|3.87072|EOL2|OH1|137|EOH1|OH2|5.67|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|187.911|187.911|256.672|256.672|AH-3.5|163.828|163.828|256.672|256.672|AH-3|163.828|163.828|292.191|292.191|AH-2.5|152.032|152.032|292.191|292.191|AH-2|152.032|152.032|323.665|323.665|AH-1.5|144.71|144.71|323.665|323.665||AH1.5|131.186|131.186|420.656|420.656|AH2|131.186|131.186|460.656|460.656|AH2.5|127.727|127.727|460.656|460.656|AH3|127.727|127.727|541.875|541.875|AH3.5|122.631|122.631|541.875|541.875|AH4|122.631|122.631|687.293|687.293|AH4.5|117.027|117.027|687.293|687.293|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-sao-paulo-men/bertran-peter-fernandez-bruno-tCBamtqg/#ah;2;-1.50;1","-1.5","1.66","2.14","1.64","2.12","","","","","1.66","2.14","","","","","","",""
