"CDM","0000007","20241011|191311","20241007_2010712_115080_060688","R12_1_CHN_Hangzhou Challenger","Fancutt/Shimizu","Sun/Te","|K|0.608535|EK|G||OL1|1.66138|EOL1|OL2|2.60352|EOL2|OH1|2.475|EOH1|OH2|256|EOH2|EG|NA||NAOL1|1.7985|ENAOL1|NAOL2|2.6752|ENAOL2|NAVE1|-9|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men-doubles/fancutt-thomas-john-shimizu-yuta-sun-fajing-te-rigele-WGQf8qkd/","","","","1.57","2.25","","","","","1.6","2.27","","","","","","",""
"CDM","0000008","20241011|191314","20241007_2010812_047239_090021","R12_1_ESP_Valencia Challenger","Merino/Negritu","Drzewiecki/Matuszewski","|K|0.404639|EK|G||OL1|2.52216|EOL1|OL2|1.69159|EOL2|OH1|248|EOH1|OH2|2.52|EOH2|EG|NA||NAOL1|2.5916|ENAOL1|NAOL2|1.8312|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-9|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/valencia-challenger-men-doubles/merino-alexander-negritu-christoph-drzewiecki-karol-matuszewski-piotr-UVtqtqec/","","","","","","","","","","2.11","1.66","","","","","","",""
"CDM","0000009","20241011|191318","20241007_2010912_111417_102576","R12_1_FRA_Roanne Challenger","Paul/Vocel","Barrientos/Pel","|K|0.550931|EK|G||OL1|1.83256|EOL1|OL2|2.26791|EOL2|OH1|2.73|EOH1|OH2|223|EOH2|EG|NA||NAOL1|1.9838|ENAOL1|NAOL2|2.33035|ENAOL2|NAVE1|-9|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/roanne-challenger-men-doubles/paul-jakub-vocel-matej-barrientos-nicolas-pel-david-8rqQWoWr/","","","","2.25","1.57","","","","","2.26","1.6","","","","","","",""
"DV","0000010","20241011|191322","20241007_1525510_093802_068284","R10_3_CHN_Wuhan Open - Wuhan","Danilina/Khromacheva","Alexandrova/Siniakova","|K|0.421742|EK|G||OL1|2.49662|EOL1|OL2|1.76287|EOL2|OH1|1|EOH1|OH2|173|EOH2|EG|NA||NAOL1|2.70844|ENAOL1|NAOL2|1.76806|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/wta-wuhan-doubles/danilina-anna-khromacheva-irina-alexandrova-ekaterina-siniakova-katerina-ptCtkvvS/","","","","","","","","","","1.98","1.84","","","","","","",""
"SM","0000011","20241011|191333","20240930_1941210_005992_029932","R10_3_CHN_Shanghai Rolex Masters - Shanghai","Djokovic","Fritz","|K|0.695324|EK|G||OL1|1.584|EOL1|OL2|3.60255|EOL2|OH1|2.088|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5984|ENAOL1|NAOL2|3.60913|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.404|5.853|1.45|1.927|AH-5|4.404|5.853|1.729|2.298|AH-4|2.956|3.929|2.038|2.709|AH-3.5|2.348|3.12|2.038|2.709|AH-3|2.348|3.12|2.373|3.154|AH-2.5|2.019|2.684|2.373|3.154|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.447|1.918|4.481|5.939|AH3|1.447|1.918|6.673|8.844|AH3.5|1.309|1.734|6.673|8.844|AH4|1.309|1.734|16.457|21.812|AH4.5|1.172|1.553|16.457|21.812|AH5|1.172|1.553|236.291|313.183|AH5.5|1.099|1.457|236.291|313.183||EAH||AHS||K-1.5|2.29407|7|2.04147|7|EK-1.5||K21|4.53433|7|7.82222|1|EK21||K1.5|1.52|7|7.39135|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-shanghai/djokovic-novak-fritz-taylor-vmqMBLSi/#ah;2;-2.50;2","-2.5","1.76","2.14","1.71","2.01","","","1.71","2.12","1.76","2.14","","","","","","",""
"SM","0000011","20241011|191335","20240930_1941210_005992_029932","R10_3_CHN_Shanghai Rolex Masters - Shanghai","Djokovic","Fritz","|K|0.695324|EK|G||OL1|1.584|EOL1|OL2|3.60255|EOL2|OH1|2.088|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5984|ENAOL1|NAOL2|3.60913|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.404|5.853|1.45|1.927|AH-5|4.404|5.853|1.729|2.298|AH-4|2.956|3.929|2.038|2.709|AH-3.5|2.348|3.12|2.038|2.709|AH-3|2.348|3.12|2.373|3.154|AH-2.5|2.019|2.684|2.373|3.154|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.447|1.918|4.481|5.939|AH3|1.447|1.918|6.673|8.844|AH3.5|1.309|1.734|6.673|8.844|AH4|1.309|1.734|16.457|21.812|AH4.5|1.172|1.553|16.457|21.812|AH5|1.172|1.553|236.291|313.183|AH5.5|1.099|1.457|236.291|313.183||EAH||AHS||K-1.5|2.29407|7|2.04147|7|EK-1.5||K21|4.53433|7|7.82222|1|EK21||K1.5|1.52|7|7.39135|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-shanghai/djokovic-novak-fritz-taylor-vmqMBLSi/#ah;2;-3.50;2","-3.5","2.25","1.69","2.1","1.65","","","2.18","1.67","2.25","1.69","","","","","","",""
"SM","0000011","20241011|191339","20240930_1941210_005992_029932","R10_3_CHN_Shanghai Rolex Masters - Shanghai","Djokovic","Fritz","|K|0.695324|EK|G||OL1|1.584|EOL1|OL2|3.60255|EOL2|OH1|2.088|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5984|ENAOL1|NAOL2|3.60913|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.404|5.853|1.45|1.927|AH-5|4.404|5.853|1.729|2.298|AH-4|2.956|3.929|2.038|2.709|AH-3.5|2.348|3.12|2.038|2.709|AH-3|2.348|3.12|2.373|3.154|AH-2.5|2.019|2.684|2.373|3.154|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.447|1.918|4.481|5.939|AH3|1.447|1.918|6.673|8.844|AH3.5|1.309|1.734|6.673|8.844|AH4|1.309|1.734|16.457|21.812|AH4.5|1.172|1.553|16.457|21.812|AH5|1.172|1.553|236.291|313.183|AH5.5|1.099|1.457|236.291|313.183||EAH||AHS||K-1.5|2.29407|7|2.04147|7|EK-1.5||K21|4.53433|7|7.82222|1|EK21||K1.5|1.52|7|7.39135|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-shanghai/djokovic-novak-fritz-taylor-vmqMBLSi/#ah;2;1.50;1","1.5","1.17","5.57","1.14","4.9","","","1.15","5.8","1.17","5.8","","","","","","",""
"SM","0000011","20241011|191337","20240930_1941210_005992_029932","R10_3_CHN_Shanghai Rolex Masters - Shanghai","Djokovic","Fritz","|K|0.695324|EK|G||OL1|1.584|EOL1|OL2|3.60255|EOL2|OH1|2.088|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5984|ENAOL1|NAOL2|3.60913|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.404|5.853|1.45|1.927|AH-5|4.404|5.853|1.729|2.298|AH-4|2.956|3.929|2.038|2.709|AH-3.5|2.348|3.12|2.038|2.709|AH-3|2.348|3.12|2.373|3.154|AH-2.5|2.019|2.684|2.373|3.154|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.447|1.918|4.481|5.939|AH3|1.447|1.918|6.673|8.844|AH3.5|1.309|1.734|6.673|8.844|AH4|1.309|1.734|16.457|21.812|AH4.5|1.172|1.553|16.457|21.812|AH5|1.172|1.553|236.291|313.183|AH5.5|1.099|1.457|236.291|313.183||EAH||AHS||K-1.5|2.29407|7|2.04147|7|EK-1.5||K21|4.53433|7|7.82222|1|EK21||K1.5|1.52|7|7.39135|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-shanghai/djokovic-novak-fritz-taylor-vmqMBLSi/#ah;2;-1.50;1","-1.5","2.16","1.75","2.04","1.69","","","2.14","1.71","2.16","1.75","","","","","","",""
"SM","0000011","20241011|191326","20240930_1941210_005992_029932","R10_3_CHN_Shanghai Rolex Masters - Shanghai","Djokovic","Fritz","|K|0.695324|EK|G||OL1|1.584|EOL1|OL2|3.60255|EOL2|OH1|2.088|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5984|ENAOL1|NAOL2|3.60913|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.404|5.853|1.45|1.927|AH-5|4.404|5.853|1.729|2.298|AH-4|2.956|3.929|2.038|2.709|AH-3.5|2.348|3.12|2.038|2.709|AH-3|2.348|3.12|2.373|3.154|AH-2.5|2.019|2.684|2.373|3.154|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.447|1.918|4.481|5.939|AH3|1.447|1.918|6.673|8.844|AH3.5|1.309|1.734|6.673|8.844|AH4|1.309|1.734|16.457|21.812|AH4.5|1.172|1.553|16.457|21.812|AH5|1.172|1.553|236.291|313.183|AH5.5|1.099|1.457|236.291|313.183||EAH||AHS||K-1.5|2.29407|7|2.04147|7|EK-1.5||K21|4.53433|7|7.82222|1|EK21||K1.5|1.52|7|7.39135|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/atp-shanghai/djokovic-novak-fritz-taylor-vmqMBLSi/","","1.42","3.09","1.36","2.87","","","1.4","3.05","1.43","3.11","","","","","","",""
"CSM","0000012","20241011|191352","20241007_2010710_068627_018094","R10_1_CHN_Hangzhou Challenger","Diallo","Mcdonald","|K|0.426666|EK|G||OL1|2.50275|EOL1|OL2|1.84625|EOL2|OH1|235|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.6085|ENAOL1|NAOL2|1.84625|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.731|163.267|AH-2.5|1000|1000|1.731|163.267|AH-2|1000|1000|1.87|176.4|AH-1.5|1000|1000|1.87|176.4||AH1.5|1000|1000|2.341|212.853|AH2|1000|1000|2.634|239.467|AH2.5|1000|1000|2.634|239.467|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.26239|6|1.54|6|EK-1.5||K21|6.04416|6|4.9728|6|EK21||K1.5|1.61996|6|3.129|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/diallo-gabriel-mcdonald-mackenzie-0t2aOR4D/#ah;2;1.50;2","1.5","1.83","2.04","1.75","1.95","","","1.87","1.89","1.87","2.04","","","","","","",""
"CSM","0000012","20241011|191354","20241007_2010710_068627_018094","R10_1_CHN_Hangzhou Challenger","Diallo","Mcdonald","|K|0.426666|EK|G||OL1|2.50275|EOL1|OL2|1.84625|EOL2|OH1|235|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.6085|ENAOL1|NAOL2|1.84625|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.731|163.267|AH-2.5|1000|1000|1.731|163.267|AH-2|1000|1000|1.87|176.4|AH-1.5|1000|1000|1.87|176.4||AH1.5|1000|1000|2.341|212.853|AH2|1000|1000|2.634|239.467|AH2.5|1000|1000|2.634|239.467|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.26239|6|1.54|6|EK-1.5||K21|6.04416|6|4.9728|6|EK21||K1.5|1.61996|6|3.129|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/diallo-gabriel-mcdonald-mackenzie-0t2aOR4D/#ah;2;0.50;2","0.5","1.97","1.88","1.88","1.82","","","","","1.97","1.88","","","","","","",""
